PREVIS,White,Black,American Indian,Asian
0,22.90327679,29.03843777,28.8973384,20.22126613
1,23.37334813,31.58399233,,
2,22.74317705,29.45623342,,22.22222222
3,23.02702256,29.70834922,23.89813908,20.96597146
4,23.56908081,29.75462279,21.86266772,20.04249292
5,23.15417555,28.07278319,21.65259349,20.76807552
6,22.13929674,25.76779621,18.72213967,19.87998154
7,19.72334507,22.30429989,18.33489242,18.21411073
8,17.23290311,20.38472219,15.74882471,15.90288752
9,13.0837903,16.68254764,13.13296308,11.49702041
10,11.04740848,15.06894676,10.82168573,9.671334815
11,7.552460105,10.72376066,7.902735562,6.878260101
12,6.742480089,10.60351046,7.62844963,6.15471485
13,5.237004694,8.949205881,6.425406204,5.008214532
14,5.594748068,9.64931447,6.850618459,5.29663402
15,7.117842361,11.52011112,8.109719738,6.162265049
16,6.721918338,10.57236062,,6.208391392
17,7.456640388,10.78582435,,6.379249912
18,8.47467506,11.99339813,,9.201773836
19,9.039548023,11.70514378,,7.345679012